"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.02852,0.02671,0.02592,1e-04,0.03531,0.02732,0.07505,0.03478,0.06663,0.07,0.04006,0.00795,0.03895,0.18979,0.03117,0.04698,0.03648,0.00914,0.0365,0.0587,0.03313,0.09081
0.03994,0.03338,0.04013,0,0.04703,0.03559,0.08063,0.03447,0.07578,0.09635,0.04445,0.00839,0.05014,0.1628,0.04931,0.05433,0.03993,0.01045,0.05193,0.07384,0.05317,0.10955
0.0348,0.02952,0.0401,2e-04,0.04119,0.03578,0.0669,0.03327,0.07798,0.08353,0.03977,0.00729,0.0448,0.14791,0.04,0.04877,0.03775,0.00645,0.03376,0.05742,0.04167,0.0798
0.03467,0.02515,0.03715,2e-04,0.04091,0.02983,0.08008,0.02972,0.07414,0.07067,0.04355,0.00639,0.05377,0.16739,0.042,0.04769,0.04449,0.00868,0.03897,0.04304,0.04581,0.0814
0.03837,0.03523,0.04509,1e-04,0.0441,0.0467,0.06575,0.0506,0.06377,0.09395,0.04967,0.01178,0.04787,0.14909,0.03811,0.05769,0.04777,0.00884,0.03834,0.06022,0.04728,0.07306
0.03649,0.02958,0.03693,2e-04,0.03187,0.04348,0.07723,0.04915,0.07292,0.09517,0.04475,0.00771,0.04854,0.1257,0.03124,0.05334,0.04159,0.00959,0.03379,0.05485,0.04999,0.08432
0.02983,0.02645,0.03038,2e-04,0.02891,0.03342,0.05789,0.0352,0.06636,0.06558,0.03202,0.00609,0.03784,0.08833,0.02666,0.03767,0.03101,0.0079,0.02347,0.03817,0.0399,0.06642
0.03825,0.03878,0.03855,1e-04,0.03414,0.04617,0.07324,0.04803,0.08833,0.09693,0.04431,0.00743,0.04649,0.14034,0.03698,0.06064,0.04071,0.00759,0.03552,0.05999,0.05555,0.07693
0.04434,0.04789,0.04759,2e-04,0.05372,0.04458,0.07472,0.03969,0.07154,0.08703,0.05197,0.00824,0.04698,0.16915,0.03568,0.0643,0.04665,0.00749,0.03348,0.05915,0.05043,0.08883
0.02737,0.02854,0.02829,2e-04,0.03487,0.03487,0.05667,0.0393,0.07376,0.07389,0.04151,0.00639,0.03843,0.1315,0.02633,0.03952,0.02933,0.00779,0.03692,0.0498,0.0417,0.08339
0.03794,0.03104,0.03454,2e-04,0.03862,0.03292,0.06123,0.0313,0.07202,0.06932,0.03676,0.00788,0.03614,0.12546,0.03408,0.04825,0.03625,0.00889,0.03338,0.0405,0.04386,0.06962
0.04274,0.04076,0.05092,1e-04,0.03909,0.03676,0.06451,0.03091,0.08171,0.064,0.03563,0.00764,0.04263,0.13323,0.04312,0.04484,0.05358,0.00739,0.03707,0.04405,0.04377,0.0637
0.03256,0.03125,0.0346,3e-04,0.03675,0.03363,0.06482,0.02905,0.07861,0.06522,0.03758,0.00724,0.04416,0.14937,0.03157,0.05262,0.03692,0.00709,0.03364,0.03902,0.04302,0.07522
0.03156,0.03596,0.03177,2e-04,0.03198,0.02877,0.05217,0.0261,0.07419,0.06653,0.02914,0.00829,0.04142,0.1465,0.03371,0.05291,0.04003,0.00794,0.03712,0.03595,0.04882,0.08733
0.02996,0.02678,0.03111,2e-04,0.03091,0.02374,0.04736,0.02243,0.08797,0.04638,0.0264,0.00619,0.03186,0.13908,0.02662,0.04311,0.03075,0.00719,0.02534,0.02958,0.03164,0.07674
0.03175,0.03493,0.03651,3e-04,0.0283,0.02672,0.04219,0.02731,0.10909,0.06058,0.03098,0.00763,0.03471,0.1415,0.02698,0.04537,0.0377,0.00734,0.03113,0.0386,0.03416,0.06178
