"C3","C4","CZ","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.08066,0.04203,0.04235,0.05002,0.03723,0.05129,0.05088,0.05006,0.05892,0.03826,0.00803,0.02376,0.02135,0.03415,0.02624,0.02651,0.01527,0.0207,0.01718,0.02092,0.01414
0.07665,0.03826,0.04521,0.06845,0.05029,0.04126,0.0418,0.03475,0.04374,0.04939,0.01294,0.02532,0.02201,0.04647,0.03218,0.04338,0.01533,0.02365,0.01529,0.029,0.01302
0.09773,0.03164,0.03693,0.05669,0.0412,0.05556,0.02721,0.05072,0.02867,0.03865,0.01066,0.02443,0.01771,0.03508,0.01966,0.02647,0.01643,0.02802,0.01478,0.02975,0.01427
0.08164,0.03421,0.03373,0.07088,0.03891,0.05138,0.02024,0.04035,0.03089,0.04564,0.01305,0.03072,0.02634,0.03068,0.0362,0.03728,0.01973,0.01664,0.01672,0.02525,0.02397
0.11461,0.04272,0.04892,0.0908,0.07209,0.05356,0.0336,0.0418,0.033,0.06703,0.00992,0.02865,0.02533,0.0479,0.03058,0.03034,0.0181,0.01728,0.02588,0.03083,0.01817
0.09487,0.02776,0.03934,0.0746,0.05726,0.04947,0.03342,0.03636,0.03287,0.05464,0.0113,0.02864,0.03013,0.04664,0.03605,0.0403,0.02149,0.02254,0.01608,0.0408,0.02414
0.07197,0.04314,0.0372,0.08377,0.05044,0.0576,0.02237,0.04088,0.02496,0.05227,0.00916,0.03519,0.02775,0.03933,0.03588,0.0469,0.02121,0.02121,0.02078,0.03705,0.01502
0.08876,0.04857,0.06134,0.07267,0.05025,0.05134,0.02366,0.03155,0.02557,0.05151,0.0104,0.03633,0.02959,0.0507,0.03678,0.04188,0.01891,0.02051,0.02875,0.03859,0.01788
0.07274,0.04019,0.04216,0.09141,0.0552,0.04981,0.02352,0.03281,0.02528,0.05981,0.01475,0.03523,0.03515,0.0373,0.05373,0.05841,0.03594,0.02155,0.01689,0.02719,0.02619
0.08291,0.041,0.05846,0.26786,0.23098,0.04725,0.04122,0.07636,0.06478,0.2666,0.01082,0.03008,0.02418,0.03744,0.02717,0.03789,0.01793,0.02261,0.01688,0.02984,0.01658
0.09896,0.03446,0.03754,0.08114,0.07345,0.03979,0.02826,0.04538,0.03722,0.08243,0.00815,0.02215,0.02052,0.03669,0.03389,0.03159,0.01669,0.01381,0.01478,0.0269,0.01663
0.07484,0.06092,0.07314,0.08646,0.05437,0.0423,0.01604,0.03503,0.02134,0.06756,0.01324,0.03306,0.02835,0.04578,0.03697,0.04301,0.01798,0.01777,0.02497,0.02743,0.01703
0.07142,0.0496,0.04447,0.04258,0.02972,0.03131,0.01513,0.02053,0.01616,0.03134,0.02097,0.02587,0.02689,0.03693,0.03858,0.03917,0.01754,0.01584,0.02747,0.03174,0.02154
0.08996,0.06565,0.07472,0.04766,0.0324,0.02541,0.01488,0.0222,0.01898,0.03366,0.14105,0.02803,0.02878,0.06958,0.04109,0.03645,0.05039,0.01763,0.02664,0.06491,0.02191
0.07285,0.03058,0.03827,0.12999,0.10116,0.04153,0.02452,0.04476,0.03219,0.12162,0.11141,0.03034,0.02804,0.0391,0.04136,0.03938,0.0298,0.02644,0.01498,0.03172,0.02021
0.05776,0.02345,0.03804,0.0485,0.03236,0.03351,0.01527,0.02177,0.01801,0.03751,0.04326,0.02705,0.02504,0.02995,0.03311,0.0278,0.02435,0.02173,0.01292,0.02136,0.01935
0.04534,0.04697,0.05069,0.04639,0.03206,0.02887,0.01448,0.02416,0.02069,0.03374,0.02672,0.02954,0.02993,0.03385,0.03252,0.03494,0.02702,0.03456,0.01686,0.02511,0.0219
0.04658,0.03403,0.04165,0.04713,0.04051,0.04244,0.02252,0.05002,0.0307,0.03787,0.02063,0.0286,0.02835,0.04097,0.03601,0.03782,0.02644,0.04167,0.01783,0.02648,0.02471
0.09113,0.03272,0.04476,0.05399,0.06175,0.04846,0.03706,0.0352,0.03525,0.04779,0.05735,0.03199,0.03034,0.03455,0.03888,0.04164,0.04333,0.02566,0.01679,0.02368,0.02012
0.08706,0.03841,0.03587,0.06717,0.05426,0.04349,0.03264,0.04083,0.03488,0.05264,0.08734,0.03651,0.02965,0.02802,0.03584,0.03456,0.06212,0.02258,0.01883,0.02092,0.0196
0.07114,0.02759,0.03078,0.07114,0.04237,0.04692,0.02291,0.0364,0.02977,0.04691,0.01544,0.04068,0.0347,0.02469,0.05478,0.05292,0.02371,0.03066,0.01459,0.02125,0.0237
0.06946,0.03179,0.04945,0.04996,0.03486,0.03753,0.01581,0.02923,0.019,0.03468,0.04753,0.02685,0.02322,0.04877,0.02767,0.02941,0.02317,0.0165,0.01647,0.02936,0.02137
0.07495,0.03311,0.04195,0.06605,0.04952,0.05804,0.02408,0.039,0.03094,0.05192,0.01319,0.03088,0.02577,0.03394,0.03119,0.0438,0.01712,0.01938,0.01523,0.02395,0.01736
0.09032,0.03052,0.03726,0.05538,0.0219,0.04069,0.01357,0.02624,0.01705,0.02946,0.02537,0.0347,0.03128,0.03262,0.03426,0.03442,0.02599,0.0162,0.01338,0.02307,0.01879
0.083,0.0313,0.03289,0.09408,0.07056,0.05145,0.03192,0.03993,0.03269,0.06795,0.01898,0.03047,0.02826,0.02941,0.04142,0.04627,0.02153,0.02318,0.01167,0.02057,0.01679
0.08552,0.03771,0.03846,0.09377,0.08005,0.05896,0.04226,0.0594,0.04891,0.07454,0.01809,0.02815,0.02739,0.0325,0.04841,0.05093,0.02151,0.02207,0.01936,0.0282,0.01903
0.05873,0.03634,0.04369,0.18452,0.15175,0.13344,0.07636,0.128,0.08569,0.15317,0.01369,0.04994,0.04124,0.03606,0.08034,0.07915,0.02866,0.02381,0.01565,0.02684,0.03785
0.08524,0.02328,0.02557,0.05412,0.04081,0.04127,0.02213,0.02684,0.02573,0.03982,0.00892,0.03125,0.03066,0.03233,0.0408,0.03715,0.01719,0.03072,0.01698,0.02618,0.02574
0.08373,0.02967,0.03683,0.08747,0.0631,0.04506,0.02306,0.02908,0.02558,0.0678,0.00984,0.02641,0.02095,0.03656,0.02425,0.03089,0.01654,0.0236,0.01553,0.02653,0.01213
0.08922,0.03345,0.03663,0.06159,0.04167,0.04063,0.02277,0.03225,0.02818,0.04389,0.01125,0.03083,0.02615,0.03563,0.02867,0.03545,0.01758,0.02377,0.01963,0.03078,0.01736
0.0639,0.04632,0.04403,0.11306,0.08441,0.0599,0.02761,0.04376,0.03884,0.09617,0.01066,0.02605,0.02548,0.04318,0.03554,0.03733,0.01929,0.01707,0.03055,0.03015,0.01879
0.09177,0.03598,0.04592,0.08282,0.05762,0.03945,0.02309,0.03357,0.03109,0.07323,0.04175,0.02923,0.03198,0.04322,0.03738,0.04699,0.0194,0.01614,0.01525,0.02525,0.02034
0.07546,0.03293,0.03113,0.06301,0.03874,0.04685,0.02427,0.02882,0.02336,0.03912,0.10216,0.0247,0.02891,0.03192,0.03009,0.03183,0.02245,0.01638,0.01718,0.02523,0.01955
0.08358,0.03671,0.05156,0.03677,0.02874,0.02958,0.01652,0.02079,0.01892,0.02905,0.22506,0.02527,0.02504,0.02976,0.02885,0.03056,0.06856,0.02393,0.01369,0.02033,0.0163
0.08887,0.05433,0.06471,0.05083,0.03474,0.0391,0.01928,0.02435,0.02104,0.0352,0.16228,0.02983,0.02898,0.03685,0.03934,0.0454,0.05379,0.01992,0.01917,0.0277,0.02123
0.08104,0.02732,0.03417,0.04665,0.02627,0.0353,0.0151,0.02022,0.01886,0.03178,0.04696,0.02785,0.02564,0.02523,0.027,0.03643,0.03942,0.0213,0.01155,0.02454,0.01701
0.07581,0.03839,0.04322,0.08478,0.04458,0.05638,0.03393,0.0422,0.03959,0.05031,0.01673,0.02289,0.02153,0.03518,0.02533,0.03388,0.01545,0.02006,0.01576,0.02417,0.01544
0.08248,0.02744,0.03442,0.08352,0.07582,0.05458,0.03872,0.03846,0.0415,0.068,0.00808,0.02406,0.02281,0.02828,0.03098,0.03072,0.01733,0.01315,0.01308,0.02777,0.01633
0.07646,0.03264,0.04917,0.05032,0.03288,0.03027,0.01899,0.01994,0.02061,0.03244,0.01379,0.03597,0.03366,0.04259,0.0317,0.03285,0.02194,0.01842,0.01212,0.03279,0.01843
0.07703,0.03181,0.0387,0.044,0.02746,0.02605,0.01439,0.01975,0.0189,0.02926,0.19487,0.02623,0.02787,0.03171,0.03986,0.03801,0.05116,0.02044,0.01341,0.03421,0.02229
0.08029,0.03461,0.04689,0.08292,0.05344,0.04583,0.02212,0.0383,0.02714,0.06275,0.04002,0.02488,0.02229,0.03416,0.0226,0.02909,0.02216,0.02135,0.01297,0.02572,0.01306
0.0804,0.02932,0.04303,0.05086,0.02727,0.03543,0.01466,0.02334,0.01624,0.03081,0.22415,0.02977,0.02971,0.04767,0.03336,0.03615,0.17886,0.02266,0.01466,0.03278,0.02307
