"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.00939,0.00802,0.00965,0.00184,0.00877,0.00908,0.00784,0.00802,0.01112,0.00937,0.00834,0.00311,0.01188,0.01127,0.01188,0.01282,0.01157,0.00509,0.00653,0.00951,0.00878,0.01021
0.00801,0.00703,0.00906,0.00188,0.00986,0.00922,0.00615,0.00775,0.01258,0.00898,0.00996,0.00426,0.00993,0.00735,0.00944,0.00852,0.00879,0.00413,0.00658,0.00908,0.00758,0.00656
0.01201,0.01373,0.02031,0.06105,0.01324,0.01602,0.03014,0.01369,0.02004,0.03023,0.01197,0.00811,0.01275,0.00967,0.01562,0.01396,0.01344,0.00449,0.00664,0.0176,0.00926,0.01375
0.0102,0.00848,0.01266,0.86346,0.01044,0.01073,0.0084,0.00915,0.01262,0.00842,0.01192,0.00367,0.01112,0.01027,0.01114,0.01091,0.01108,0.00413,0.00702,0.00898,0.0075,0.00844
0.01059,0.00826,0.01602,0.32669,0.01043,0.01168,0.00773,0.00908,0.01206,0.00953,0.01516,0.00294,0.01289,0.01498,0.01338,0.01365,0.01463,0.00425,0.00681,0.01119,0.00781,0.01029
0.00856,0.00777,0.01222,0.04583,0.01178,0.01207,0.01513,0.00892,0.01172,0.01726,0.01222,0.00344,0.01415,0.01067,0.01137,0.01094,0.01186,0.00388,0.0066,0.01012,0.0083,0.0092
0.01363,0.00711,0.02166,0.19884,0.01149,0.00989,0.00978,0.00898,0.01428,0.0099,0.0144,0.0046,0.0118,0.01358,0.0191,0.0202,0.02196,0.00364,0.00693,0.01527,0.00853,0.01172
0.00817,0.00779,0.00914,0.05738,0.00983,0.00805,0.01273,0.00875,0.00891,0.0074,0.00716,0.00253,0.00977,0.00942,0.01109,0.00916,0.01016,0.00446,0.00591,0.00819,0.00689,0.00819
0.01002,0.00755,0.01209,0.00923,0.02066,0.00902,0.03807,0.00838,0.01074,0.00783,0.01019,0.0029,0.00932,0.0123,0.01096,0.00986,0.01074,0.00434,0.00663,0.00947,0.00695,0.00957
0.00902,0.00638,0.01071,0.00209,0.01328,0.00803,0.02427,0.00843,0.01186,0.00763,0.00928,0.00231,0.01084,0.00959,0.00942,0.00912,0.00924,0.00323,0.00576,0.00742,0.00673,0.00771
0.01252,0.00728,0.01518,0.00317,0.01057,0.01054,0.00753,0.00941,0.01311,0.00966,0.01342,0.00329,0.01166,0.01154,0.01635,0.01328,0.01572,0.00374,0.00714,0.01183,0.00785,0.00845
0.01708,0.01007,0.02528,0.00247,0.01324,0.01406,0.00917,0.01023,0.01588,0.01328,0.02071,0.00432,0.01082,0.01168,0.02154,0.01905,0.02163,0.00464,0.00824,0.01823,0.00982,0.01299
0.01251,0.00898,0.02112,0.00932,0.01548,0.01241,0.01422,0.01104,0.01339,0.01079,0.01613,0.00294,0.00996,0.00975,0.01504,0.01611,0.01645,0.00474,0.0074,0.01474,0.00846,0.00915
0.00797,0.00777,0.00973,0.00953,0.01081,0.01018,0.01622,0.01016,0.01081,0.01043,0.00931,0.0027,0.00809,0.00807,0.00993,0.00962,0.00933,0.00448,0.00662,0.00956,0.00675,0.0076
0.01129,0.01072,0.01279,0.00359,0.01127,0.01207,0.01138,0.01537,0.01188,0.0169,0.01096,0.00292,0.01078,0.01322,0.01273,0.01426,0.01428,0.00352,0.00859,0.01217,0.01119,0.01171
0.01334,0.0227,0.01356,0.00247,0.02205,0.01782,0.03643,0.04228,0.01791,0.01683,0.01162,0.00258,0.0127,0.01301,0.01292,0.01155,0.01348,0.00387,0.01369,0.0126,0.02092,0.02256
0.01624,0.01434,0.02089,0.00409,0.02159,0.01714,0.02435,0.04122,0.0172,0.01673,0.0151,0.00358,0.02104,0.01118,0.01854,0.01569,0.01675,0.00534,0.01432,0.01711,0.01602,0.01876
0.01493,0.01368,0.01227,0.00429,0.02805,0.01242,0.05434,0.03731,0.01683,0.01181,0.01192,0.0026,0.01217,0.00983,0.01175,0.01085,0.0106,0.0045,0.01431,0.01095,0.01864,0.01828
0.0088,0.00786,0.00916,0.00333,0.01423,0.01073,0.02304,0.02431,0.01189,0.0092,0.00965,0.0026,0.01139,0.00902,0.00965,0.00869,0.00963,0.00339,0.01067,0.00811,0.01246,0.01297
