"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T5","T6"
0.7816,0.86691,1.32139,0.19482,0.71828,0.94689,0.75291,0.85761,1.49942,1.70268,1.02066,0.4258,1.10503,0.92132,0.87302,1.17474,1.3392,0.72447,0.37208,0.55561,0.77986
0.8261,1.0246,1.41496,0.17546,0.74597,1.00546,0.6784,0.88775,1.5251,1.61438,1.06276,0.31882,0.95142,0.99256,0.8101,1.09073,1.19289,0.39997,0.43996,0.61941,0.86283
0.84263,1.19233,1.66472,0.18892,0.68421,1.23386,0.99492,1.11021,2.39481,3.39431,1.09522,0.40619,1.28571,1.07696,1.03977,1.29527,1.60165,0.88533,0.44437,0.70285,0.86104
0.94395,1.16729,1.61183,0.18263,0.80163,1.03735,0.8954,0.82326,2.00513,2.64515,1.0354,0.42087,1.44167,1.18292,1.111,1.58675,1.76598,0.45089,0.45587,0.7245,0.97811
0.67458,0.95712,1.22219,0.19918,0.58785,0.91685,0.68228,0.79858,1.54636,1.99347,0.84298,0.37205,0.89785,0.76797,0.79262,1.11038,1.19173,0.26987,0.3623,0.52393,0.72845
0.83388,1.00083,1.40891,0.1831,0.66425,0.88658,0.87336,0.7707,2.00525,2.55348,0.90196,0.60256,1.21525,1.04779,1.02497,1.23164,1.4952,0.56127,0.37258,0.72604,0.86693
0.80085,1.07811,1.20515,0.20182,0.80446,0.96947,0.61288,0.94406,1.0387,1.39848,0.95676,0.32362,0.93675,0.80841,0.85403,1.25725,1.34325,0.35108,0.38141,0.5257,0.82343
0.71154,0.73867,1.07206,0.16256,0.60733,0.81357,0.62026,0.71952,1.27357,1.77443,0.80458,0.20161,0.78781,0.78349,0.70616,0.89812,1.06544,0.19981,0.40547,0.44728,0.65907
0.71647,0.64377,1.04352,0.17926,0.57314,0.84495,0.46246,0.85256,1.08096,2.7114,0.83056,0.34551,0.69931,0.5779,0.7207,0.78621,1.06081,0.49232,0.35427,0.44367,0.54875
0.68148,0.78796,1.00268,0.17281,0.64174,0.79948,0.61893,0.85776,0.9143,1.53977,0.80172,0.61237,0.94599,0.70576,0.83426,0.93148,1.03383,2.13094,0.40679,0.51718,0.60494
0.84969,1.0367,1.47438,0.19286,0.64963,0.94105,0.53801,0.89328,0.9363,1.42465,0.98409,0.34194,0.98112,0.8415,0.90698,1.13049,1.40561,0.55756,0.41884,0.61046,0.7247
0.81,0.94173,1.20182,0.19065,0.80674,1.16106,0.92625,1.24167,1.70042,3.59477,1.02427,0.50643,0.78375,0.74104,0.72829,0.97008,1.0189,3.34703,0.46117,0.49631,0.75292
1.51527,1.50801,2.28762,0.18266,1.47447,1.87248,0.93345,1.54141,2.02266,3.40509,2.0697,0.49158,1.53569,1.01391,1.59052,1.70857,2.25974,1.6239,0.61237,0.90872,0.95797
0.64946,0.79619,1.00681,0.16532,0.57225,0.77192,0.57717,0.68162,1.08797,1.22149,0.7883,0.27983,0.85749,0.69759,0.81359,1.03627,1.101,0.36313,0.38069,0.54392,0.70871
0.64529,0.81937,1.10468,0.17724,0.55235,0.72766,0.7349,0.65901,1.8567,2.12979,0.79314,0.32311,0.92935,0.74136,0.87483,0.99669,1.28889,0.25409,0.35733,0.53878,0.75566
0.50345,0.70033,0.77448,0.18441,0.44573,0.66601,0.47399,0.69267,0.92818,1.49836,0.61102,0.16112,0.86412,0.67862,0.69247,0.84554,0.92439,0.22061,0.33105,0.51652,0.66958
0.56755,0.75977,0.81069,0.16849,0.51935,0.68673,0.44858,0.78395,0.83814,1.69572,0.67197,0.21151,0.72714,0.63758,0.66473,0.76044,0.87331,0.64934,0.35199,0.54197,0.48883
0.643,0.76201,1.11262,0.17279,0.60576,0.7896,0.49025,0.72356,0.90716,1.27712,0.83252,0.21916,0.8531,0.71181,0.7062,0.84037,1.07317,0.41424,0.38844,0.53006,0.53914
