"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.00823,0.0093,0.00941,0.01166,0.89424,0.00811,0.00899,0.00948,0.00772,0.00743,0.00727,0.00245,0.00642,0.00754,0.00728,0.00756,0.00883,0.0035,0.00748,0.00748,0.00603,0.00642
0.00908,0.00771,0.00918,0.01336,0.81214,0.00757,0.00863,0.00791,0.00796,0.00765,0.00751,0.00215,0.00628,0.00648,0.00802,0.00709,0.00775,0.0038,0.00751,0.0065,0.00636,0.00572
0.01027,0.00959,0.00916,0.13952,0.78137,0.01029,0.01416,0.01076,0.01232,0.01166,0.00925,0.00256,0.00839,0.008,0.00832,0.00785,0.00855,0.00382,0.01019,0.00931,0.00808,0.007
0.01088,0.01217,0.01174,0.09082,0.57518,0.01227,0.01432,0.01354,0.01362,0.0136,0.01156,0.00251,0.01148,0.0131,0.01029,0.01105,0.01252,0.00425,0.01,0.0107,0.01056,0.01246
0.01053,0.01362,0.01098,0.04959,0.84241,0.01028,0.01038,0.00989,0.01182,0.01053,0.00881,0.00288,0.00883,0.01073,0.0107,0.01213,0.0118,0.00341,0.00861,0.00908,0.00768,0.00991
0.00838,0.00817,0.00799,0.06088,1.08893,0.00813,0.01027,0.01125,0.0145,0.01567,0.00679,0.00217,0.00691,0.00793,0.00791,0.00719,0.00854,0.00495,0.00965,0.01006,0.00675,0.00699
0.01211,0.01068,0.01035,0.12569,1.01666,0.00998,0.01283,0.01252,0.02058,0.02151,0.01019,0.00245,0.00976,0.00984,0.01072,0.00925,0.00961,0.00405,0.00943,0.00918,0.00984,0.01052
0.01266,0.01445,0.01248,0.03628,1.30603,0.014,0.01221,0.01167,0.02881,0.02274,0.01248,0.00243,0.01064,0.01293,0.01301,0.01142,0.0115,0.00389,0.00918,0.00922,0.01008,0.01135
0.01202,0.01311,0.01417,0.01573,1.11152,0.01485,0.00842,0.00987,0.0265,0.02366,0.01377,0.00264,0.00811,0.00911,0.00878,0.00866,0.00879,0.00356,0.00762,0.00787,0.00748,0.00809
0.015,0.01358,0.01534,0.04433,1.00301,0.01546,0.01131,0.01088,0.02642,0.02778,0.01714,0.00319,0.01283,0.01433,0.0123,0.0117,0.01129,0.00407,0.00834,0.00767,0.01025,0.01099
0.01175,0.0129,0.01288,0.04349,1.52497,0.01415,0.01297,0.01153,0.0257,0.02699,0.01326,0.00243,0.00979,0.01151,0.01088,0.01102,0.01012,0.00401,0.00961,0.00978,0.00922,0.01137
0.01264,0.01206,0.01212,0.03497,1.43634,0.01093,0.01169,0.01149,0.02898,0.02386,0.01151,0.00319,0.01189,0.01309,0.01205,0.01231,0.01232,0.00438,0.01049,0.00982,0.01088,0.0119
0.01905,0.01612,0.0194,0.03812,1.50812,0.01508,0.01545,0.01432,0.02586,0.02868,0.01629,0.00286,0.01555,0.01522,0.01752,0.01463,0.01706,0.00399,0.01334,0.01215,0.0143,0.01375
0.01734,0.01698,0.01881,0.03289,0.85379,0.01825,0.01511,0.01462,0.0281,0.02506,0.01781,0.00239,0.01485,0.01624,0.01408,0.01419,0.01527,0.00374,0.01382,0.01239,0.01391,0.01407
0.0199,0.02431,0.02719,0.04549,0.90305,0.02129,0.01638,0.0163,0.02613,0.0237,0.02027,0.00227,0.01374,0.01591,0.01669,0.01706,0.0186,0.00378,0.01427,0.01416,0.01456,0.01624
0.01207,0.01333,0.01433,0.03687,0.84399,0.01287,0.01066,0.01105,0.02634,0.01966,0.01229,0.00233,0.01153,0.01206,0.01167,0.01263,0.01281,0.00356,0.00927,0.00929,0.01042,0.0121
0.01061,0.01089,0.0127,0.0287,0.86975,0.01079,0.00832,0.00912,0.02138,0.01883,0.01065,0.00217,0.00989,0.01061,0.00963,0.01084,0.01202,0.00364,0.0076,0.00832,0.0084,0.00973
0.01008,0.00912,0.01231,0.01851,1.19658,0.00932,0.00881,0.00711,0.02137,0.01812,0.01137,0.00239,0.00939,0.00967,0.00951,0.00922,0.00981,0.00288,0.00703,0.00636,0.00785,0.00842
0.01137,0.01047,0.01135,0.0299,0.91263,0.00998,0.01181,0.01167,0.02137,0.01814,0.00998,0.00284,0.01144,0.01223,0.01084,0.0106,0.01154,0.00362,0.0097,0.00923,0.00998,0.01009
0.01442,0.01371,0.01717,0.04117,0.98616,0.01574,0.01274,0.01168,0.02123,0.01908,0.01646,0.00237,0.01151,0.01266,0.01223,0.01172,0.01203,0.00284,0.01115,0.01002,0.01127,0.01156
0.01317,0.0126,0.01394,0.01891,0.95343,0.01046,0.01006,0.01039,0.01424,0.01412,0.01064,0.00219,0.01227,0.01266,0.01313,0.01194,0.01278,0.00309,0.0094,0.00971,0.01018,0.01049
0.01258,0.01309,0.01343,0.0081,1.32799,0.01227,0.00891,0.01024,0.01216,0.01499,0.01156,0.00194,0.01122,0.01114,0.0112,0.01184,0.012,0.00292,0.00906,0.00988,0.00943,0.00984
0.01391,0.01495,0.01725,0.00675,0.89554,0.01354,0.00791,0.00986,0.01057,0.01099,0.01463,0.00209,0.01252,0.01342,0.01352,0.01321,0.01514,0.00342,0.00816,0.0091,0.00926,0.01012
0.01382,0.0156,0.01964,0.01013,0.62243,0.01635,0.00941,0.00936,0.01223,0.01043,0.02282,0.00252,0.00934,0.0093,0.01139,0.01075,0.01222,0.00309,0.00839,0.00851,0.00875,0.00928
0.01178,0.01216,0.01422,0.00582,0.73752,0.00978,0.00721,0.01039,0.01137,0.01461,0.01145,0.00301,0.01123,0.01096,0.0128,0.01178,0.01416,0.00387,0.0065,0.00758,0.00855,0.00875
0.00825,0.01008,0.00999,0.00507,0.90031,0.0082,0.00525,0.00744,0.00967,0.01009,0.00791,0.0028,0.0084,0.00891,0.00934,0.00961,0.00973,0.00382,0.00636,0.00544,0.00781,0.00765
0.01068,0.0115,0.01137,0.00812,0.86898,0.00892,0.00814,0.00923,0.0124,0.01057,0.00904,0.00247,0.00845,0.00982,0.01,0.01111,0.01055,0.0036,0.00759,0.00845,0.00763,0.00873
0.01117,0.01141,0.0125,0.00716,0.58758,0.01144,0.00949,0.01045,0.01844,0.01221,0.01162,0.00247,0.01006,0.01059,0.01023,0.0108,0.01145,0.00372,0.00886,0.00955,0.00925,0.00888
0.01031,0.01069,0.01151,0.00695,0.68378,0.00961,0.00791,0.00832,0.01254,0.0084,0.0091,0.0025,0.00809,0.01008,0.01,0.00944,0.01061,0.00356,0.00724,0.00773,0.00754,0.00838
0.00813,0.00945,0.00979,0.01021,0.72993,0.00887,0.00865,0.009,0.01014,0.00756,0.00728,0.00293,0.00636,0.00758,0.00748,0.00822,0.00852,0.00346,0.00718,0.00736,0.00658,0.0064
0.01056,0.01008,0.01355,0.0083,0.78799,0.00754,0.00814,0.00717,0.01016,0.0073,0.00857,0.00194,0.00755,0.00785,0.00916,0.00939,0.0109,0.00342,0.0074,0.00617,0.00738,0.00665
0.01051,0.01117,0.0138,0.00611,0.78236,0.01019,0.00625,0.00796,0.00801,0.00746,0.0109,0.00192,0.00902,0.00943,0.00967,0.00988,0.01096,0.00348,0.00652,0.00656,0.00675,0.00714
