"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
1.57945,1.85855,1.68967,0.10807,1.95903,3.37292,0.86913,1.29517,1.35572,2.36887,3.04272,0.35962,1.40987,1.42191,1.86644,1.67437,1.80906,0.46894,0.6081,0.6132,0.98248,0.72797
1.83982,1.5548,1.80762,0.11236,1.90439,2.01956,1.01885,0.97792,1.45734,1.91859,2.51116,0.40584,2.14291,1.53159,2.26185,1.86856,2.10504,0.41281,0.7049,0.61979,1.58754,0.84431
1.50092,1.38282,1.39283,0.11776,1.21489,1.53527,0.7499,1.00582,1.00005,1.46119,1.65754,0.31642,1.54174,1.22828,1.59205,1.69076,1.69315,0.44469,0.6594,0.70471,0.87511,0.86751
1.15213,1.13797,1.2267,0.09345,0.75565,1.06624,0.49645,0.70833,0.59814,0.85401,1.10718,0.21243,1.11221,0.81552,1.25899,1.36983,1.53631,0.33915,0.48082,0.50237,0.63815,0.62017
1.06579,0.96402,1.19964,0.10807,0.87521,0.98732,0.66408,0.65832,0.67621,0.8255,1.09109,0.27407,0.70704,0.72548,1.12006,1.02703,0.99741,0.30877,0.51166,0.51489,0.59812,0.68426
1.43655,1.08192,1.55476,0.12039,0.89136,0.92919,0.75647,0.7533,0.79882,0.86784,1.04946,0.32763,1.39523,1.36691,1.61803,1.37052,1.55771,0.30082,0.60989,0.54688,1.11513,0.77874
1.66329,1.74649,1.78239,0.17043,1.07758,1.21971,0.74976,0.78462,0.92484,1.04925,1.58512,0.36744,1.99581,1.6931,1.76017,1.83775,2.04986,0.34838,0.65648,0.59302,1.24249,0.93306
1.91602,1.55814,2.62375,0.11986,1.19441,1.46016,0.73652,0.83052,0.94058,1.23064,1.81513,0.35562,1.6187,1.35508,1.53539,1.78281,1.85568,0.39763,0.50771,0.58842,0.6284,1.0628
1.14765,1.33429,1.46516,0.11986,0.86071,0.89092,0.67107,0.66445,0.67098,0.84512,1.2687,0.28831,1.00685,0.93106,0.97069,1.7001,1.30362,0.33197,0.60615,0.65168,0.60345,0.90784
1.1215,0.9261,1.11649,0.14475,0.69139,0.84594,0.48354,0.63657,0.65819,0.85735,1.1633,0.20548,1.02083,0.96717,0.91061,0.91773,1.06887,0.25893,0.47736,0.52016,0.83745,0.56656
3.12451,3.21652,3.32788,2.06458,2.65809,3.44773,1.54829,2.10765,4.7122,6.86402,3.66626,0.4463,1.98951,1.61322,2.47266,2.28564,2.09761,0.59892,1.25656,1.82859,2.08667,1.52882
5.09981,4.64658,4.34341,6.56122,17.71216,25.11418,14.75627,15.42246,300.46776,241.25046,42.00406,3.68782,3.90389,2.55372,4.1543,4.28105,4.15074,2.14521,2.49062,7.31728,3.1356,2.57666
2.9768,4.13851,3.69641,1.23449,5.04168,11.63233,5.99835,18.63459,41.87265,59.10504,5.64126,1.17921,2.83548,2.26885,3.54386,3.66467,3.2332,1.31776,1.95151,9.84365,2.20191,2.87419
3.2748,3.37717,3.33652,1.82341,4.91348,6.86569,3.90132,5.78778,47.28376,37.0746,5.74856,0.64873,2.70966,2.76402,3.27106,4.817,3.97053,0.76216,1.32731,4.30132,2.64432,3.11815
3.5319,3.36556,3.70956,37.31969,3.59833,4.63693,3.3016,5.60457,19.1779,11.88716,3.98478,0.57888,2.04748,1.89475,3.14026,3.253,3.11428,0.58299,1.65398,4.21754,2.00089,2.6063
2.49672,2.55978,2.7235,0.58889,2.80283,2.91242,1.64393,2.18841,4.74689,3.76988,3.11085,0.69572,1.62119,1.95702,2.18619,4.08725,2.79116,0.54342,1.18378,1.8306,0.99287,2.09624
1.85579,2.18662,2.22022,0.25519,1.42354,1.85274,0.85921,1.4657,1.56652,1.76305,1.84412,0.31577,1.74918,1.25111,1.69388,1.98322,1.90783,0.45647,0.87704,1.33861,1.02336,1.20902
1.79146,2.03749,2.06824,0.33595,1.93882,1.62586,1.03963,1.43294,1.72294,1.71395,1.98491,0.33019,1.76392,1.7303,2.01479,2.67194,2.19328,0.38011,0.83835,1.23855,1.69633,1.38379
1.89871,1.8289,1.8814,0.26302,1.73945,2.39665,0.97004,1.67477,1.32387,1.99673,2.2497,0.41475,1.5079,1.17486,1.79067,1.34479,1.19432,0.44686,0.93564,1.20412,0.97638,0.89979
1.97105,1.8391,1.79201,0.28338,1.28137,1.56042,0.78959,1.07917,1.21845,1.39861,1.8324,0.38233,1.27127,1.03395,2.02221,1.73479,1.59559,0.3512,0.76278,1.03737,0.94671,1.09014
2.54067,2.51576,2.42666,0.26122,3.02967,2.91109,1.40652,1.46465,2.08881,2.57408,3.33438,0.47084,1.13426,1.12026,2.10799,1.62413,1.48659,0.45686,1.0504,1.00998,0.97068,0.9573
1.49584,1.94085,1.65931,0.23153,2.07125,2.07791,1.09874,1.04462,1.48398,1.74442,2.11132,0.39531,1.24556,1.14156,1.44408,1.61216,1.60829,0.4346,0.8435,0.71961,0.71654,0.7779
1.40714,1.43824,1.4823,0.18776,1.41951,1.205,0.84068,0.89964,1.0137,1.1097,1.51846,0.32347,1.1628,1.29891,1.34815,1.75743,1.54082,0.28843,0.76171,0.88234,1.24765,1.07017
1.23142,1.23951,1.54586,0.32074,0.75396,1.1586,0.56617,1.03865,0.71387,1.03109,1.25134,0.29579,1.13571,1.22763,1.17888,1.43617,1.46129,0.31617,0.63659,0.94071,0.95232,0.92904
1.64867,1.33225,1.84855,0.19762,0.92284,0.9483,0.59236,0.69502,0.67766,0.87906,1.35438,0.27435,1.39118,1.03791,1.469,1.46091,1.57649,0.29659,0.79589,0.78195,0.84309,0.82078
1.68109,1.50633,1.88488,0.13154,1.32344,1.25732,0.65102,0.78884,0.92468,1.08758,1.84099,0.27759,1.14225,1.02076,1.35293,1.23406,1.51322,0.39525,0.59493,2.69741,0.62766,0.69297
1.47662,1.41794,1.68933,0.43492,1.06217,1.29751,0.58174,0.90926,1.0961,1.27628,1.83914,0.44734,0.83575,0.98483,1.48837,1.52188,1.59188,0.40538,0.67663,0.80929,0.81912,0.94764
1.72009,1.40072,1.92076,0.22458,1.01332,1.28095,0.6978,1.13131,0.82726,1.05605,1.42381,0.34048,1.37767,1.15935,1.5366,1.38639,1.64493,0.50733,0.77269,0.86033,1.30226,0.85173
1.35334,1.81479,2.17256,0.1471,1.26678,1.59949,0.6216,0.9525,1.02683,1.32827,1.91499,0.26723,1.22228,1.2859,1.16425,1.52784,1.38767,0.39794,0.57217,0.71383,1.03508,0.83686
1.5153,1.95602,2.08461,0.11788,1.33861,1.75432,0.56364,0.92596,0.98757,1.2232,2.03599,0.25455,1.36278,1.38489,1.30891,1.67197,1.34277,0.39023,0.50147,0.64096,0.67351,0.89915
1.08521,1.38722,1.41987,0.11474,0.79386,1.38362,0.47692,0.68185,0.69263,0.98747,1.3553,0.21255,1.0359,1.05269,1.28506,1.26672,1.49149,0.28498,0.37766,0.47037,0.53229,0.62308
1.50259,1.2216,1.59777,0.12944,1.25989,1.41921,0.75986,1.10405,0.80948,1.01441,1.54235,0.27555,1.07099,1.07645,1.42655,1.32574,1.23953,0.58669,0.88287,0.67135,0.76907,0.81594
1.42752,1.35412,1.62244,0.15471,1.08434,1.23777,0.8685,1.31376,0.99058,1.2414,1.44944,0.76909,1.45024,1.23837,1.44193,1.37612,1.49404,0.54757,0.80534,0.83141,1.08207,0.88411
1.47277,1.53423,1.95969,0.13077,1.15698,1.47007,0.99513,1.74091,1.28215,1.54938,1.80992,1.04553,2.21469,1.74256,1.68168,1.75943,1.80813,0.72177,0.67886,0.84563,1.17178,1.01497
1.89659,1.35977,1.87357,0.10363,0.97923,0.93131,0.59552,1.0582,0.89758,1.11531,1.3034,0.57146,1.28977,1.13508,1.92959,1.69943,1.68879,0.54442,0.74074,0.64663,1.04448,0.77155
1.24742,1.87031,1.64522,0.11938,1.23953,1.00356,1.27907,0.81355,0.80365,0.83155,1.28889,0.64434,1.17758,1.32423,1.20785,2.00324,1.55646,0.37341,1.02475,0.81283,0.76067,1.06248
1.60103,1.21291,1.62167,0.10732,1.11859,1.01251,0.85621,0.80456,0.91522,1.03541,1.34398,0.4246,1.07742,0.94862,1.45519,1.32075,1.52193,0.37034,0.70753,0.59649,0.95598,0.80319
1.13561,1.04618,1.20784,0.129,0.72177,0.83834,0.55747,0.66952,0.61028,0.78966,1.00313,0.29944,1.02791,0.82084,1.24642,1.07602,1.26502,0.34045,0.5074,0.48159,0.81476,0.59462
1.66439,1.6805,2.01572,0.1051,0.89196,1.15713,0.76199,0.84512,0.85607,1.07279,1.26946,0.56517,1.48888,1.15551,1.81661,1.71921,1.90597,0.43807,0.63533,0.56557,0.89101,0.75751
1.3122,1.41111,1.64376,0.11981,1.12766,1.18908,0.69838,0.88396,0.90189,1.22879,1.63603,0.43843,1.29332,1.01987,1.39113,1.64326,1.43644,0.50004,0.5462,0.4947,0.95598,0.73318
1.49338,1.52067,1.76552,0.12246,1.48519,1.39549,0.86074,0.86669,1.12815,1.11412,1.63337,0.59445,1.64635,1.48914,1.59274,1.98102,1.76251,0.47607,1.09913,0.69458,1.63534,1.04315
