"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.00967,0.01075,0.01413,0.03122,0.01161,1.61765,0.04618,2.30457,0.00791,0.07373,0.51427,0.003,0.00595,0.00607,0.10423,0.01104,0.00981,0.00292,0.0056,0.00768,0.00509,0.00814
0.00807,0.00871,0.01097,0.02219,0.00618,1.34365,0.00415,0.97726,0.0083,0.03745,0.74622,0.00182,0.00509,0.00446,0.06044,0.0133,0.00934,0.00247,0.00503,0.00525,0.00521,0.00672
0.00761,0.01072,0.01205,0.01647,0.00759,1.32042,0.01938,0.85843,0.00785,0.04751,0.66349,0.00213,0.00647,0.0064,0.06899,0.01258,0.01117,0.00258,0.0087,0.00593,0.00538,0.00999
0.01058,0.01059,0.01338,0.09497,0.0124,1.60492,0.04619,0.97396,0.00834,0.08306,1.01846,0.00237,0.00745,0.00769,0.0573,0.01239,0.01067,0.00333,0.00603,0.00872,0.00642,0.00953
0.00936,0.00963,0.01309,0.07241,0.0053,1.23571,0.00413,0.84391,0.00769,0.02891,0.86834,0.00258,0.00837,0.00662,0.05345,0.01135,0.01074,0.00301,0.00534,0.00693,0.00695,0.00758
0.0124,0.01285,0.01614,0.07838,0.01224,1.41032,0.0462,1.28475,0.00835,0.08238,0.8259,0.00336,0.00748,0.0071,0.07678,0.01233,0.01283,0.00344,0.00648,0.00835,0.00658,0.0091
0.00971,0.01633,0.01456,0.0199,0.00545,1.10563,0.00406,0.81339,0.00783,0.02997,0.64325,0.00255,0.00712,0.00703,0.08449,0.01264,0.01358,0.00325,0.00572,0.00904,0.00632,0.01074
0.01457,0.01632,0.01577,0.03496,0.01216,0.88929,0.04622,0.70958,0.00824,0.08217,0.45876,0.00379,0.0132,0.01031,0.07858,0.01114,0.01819,0.00514,0.0072,0.01103,0.01001,0.01117
0.00829,0.0089,0.01027,0.03437,0.00545,0.93291,0.00409,0.83807,0.00779,0.02942,0.62365,0.00202,0.00522,0.0057,0.07074,0.01406,0.00949,0.0023,0.00492,0.00664,0.00523,0.00729
0.00586,0.00767,0.00762,0.02788,0.01206,1.03563,0.04622,0.90455,0.00812,0.0818,0.6087,0.00221,0.00407,0.00489,0.06738,0.01815,0.00607,0.00286,0.00438,0.00507,0.0044,0.00652
0.00802,0.00834,0.00921,0.02859,0.00575,1.17532,0.00396,0.75737,0.00795,0.03055,0.63625,0.00209,0.00587,0.00626,0.08287,0.01088,0.00839,0.00336,0.00507,0.00784,0.00561,0.00966
0.0081,0.00884,0.01043,0.02611,0.0121,1.15757,0.04628,0.85365,0.00806,0.08125,0.58698,0.00221,0.00558,0.00634,0.08628,0.01053,0.00855,0.00284,0.0048,0.00675,0.00501,0.00799
0.00798,0.00771,0.00918,0.04911,0.00582,1.26888,0.00409,1.04268,0.00818,0.03117,0.71423,0.00217,0.00515,0.00657,0.07497,0.01176,0.00713,0.00245,0.00544,0.00509,0.00438,0.00697
0.00683,0.00755,0.009,0.04586,0.01179,1.25328,0.0462,0.92643,0.00781,0.0803,0.52497,0.00248,0.00634,0.00566,0.06356,0.01262,0.00787,0.00286,0.00489,0.0064,0.00518,0.00736
0.00773,0.01046,0.01,0.02644,0.00619,1.08487,0.00427,0.95408,0.00845,0.03344,0.54323,0.00241,0.00521,0.0064,0.08635,0.01626,0.00787,0.00272,0.00519,0.00818,0.00499,0.00894
0.00644,0.00699,0.0077,0.08585,0.01144,0.99317,0.046,0.63337,0.00756,0.07774,0.48448,0.00206,0.00567,0.00572,0.10849,0.01169,0.00724,0.00299,0.00517,0.00636,0.00573,0.00795
0.00699,0.00804,0.00806,0.06812,0.00625,1.15891,0.00429,0.88356,0.00843,0.03371,0.59729,0.00241,0.0056,0.00566,0.13463,0.01426,0.00824,0.0029,0.00481,0.0062,0.00517,0.0072
0.00607,0.00769,0.00796,0.00904,0.01126,1.67398,0.046,1.13704,0.00752,0.07843,0.77152,0.0017,0.00521,0.0053,0.08612,0.01432,0.00713,0.00272,0.0046,0.00573,0.00472,0.0066
0.0079,0.00914,0.01002,0.03658,0.00623,1.95774,0.00429,1.35788,0.00849,0.03281,1.08905,0.00241,0.00538,0.0062,0.07902,0.02518,0.00831,0.00333,0.00505,0.00757,0.00483,0.00827
0.00822,0.01201,0.00941,0.10665,0.0114,1.49822,0.04597,1.49146,0.00752,0.07876,1.39092,0.00247,0.00741,0.00794,0.08344,0.01271,0.01,0.00397,0.00509,0.00857,0.00698,0.01
0.00937,0.01192,0.01129,0.21163,0.00616,1.49757,0.00437,1.39471,0.00855,0.03281,0.92317,0.00247,0.00748,0.0083,0.07844,0.0119,0.0092,0.0038,0.00704,0.00922,0.00667,0.0126
0.00885,0.01014,0.01455,0.13317,0.01134,1.39658,0.04585,1.24845,0.00742,0.07889,0.90557,0.00208,0.00699,0.01078,0.08232,0.01153,0.00789,0.00311,0.00611,0.00758,0.00556,0.01477
0.0083,0.011,0.01245,0.08036,0.00633,1.32335,0.00448,0.97377,0.00871,0.0333,0.79206,0.0028,0.00533,0.00694,0.08247,0.01194,0.00894,0.0036,0.00515,0.00822,0.00571,0.01261
0.01148,0.01692,0.01706,0.08965,0.01136,1.87161,0.04581,1.4979,0.00734,0.07825,1.12895,0.00294,0.00667,0.0079,0.06666,0.0125,0.01474,0.00364,0.00612,0.01058,0.00661,0.016
0.0086,0.0091,0.01179,0.0431,0.00639,1.91409,0.00452,1.95244,0.00867,0.03341,1.44209,0.00231,0.00507,0.00531,0.05863,0.01315,0.00727,0.00319,0.00562,0.00703,0.00564,0.01236
0.01006,0.01013,0.01182,0.1852,0.01124,1.3012,0.04583,1.60397,0.00752,0.0785,1.17688,0.00268,0.00737,0.00796,0.06613,0.01194,0.00933,0.00399,0.00636,0.0097,0.00679,0.01624
0.00828,0.0091,0.01123,0.11208,0.00639,1.72635,0.0045,1.25259,0.00857,0.03351,1.31011,0.00256,0.0055,0.00769,0.07749,0.01577,0.00844,0.00411,0.00677,0.01014,0.00574,0.01312
0.00681,0.00844,0.01002,0.07063,0.0112,1.18001,0.04583,1.00387,0.00759,0.0778,0.91775,0.00188,0.00491,0.00658,0.06332,0.01655,0.00672,0.00362,0.0054,0.00881,0.00532,0.01354
0.00814,0.01039,0.00988,0.07547,0.00641,1.23109,0.00446,1.20979,0.00855,0.03367,1.0822,0.00264,0.00571,0.00644,0.05889,0.01255,0.0081,0.00337,0.00503,0.00814,0.0063,0.01292
0.00716,0.00772,0.00852,0.04933,0.0115,1.15715,0.04593,1.29324,0.00767,0.07827,1.17264,0.00215,0.00484,0.00577,0.06576,0.0185,0.0065,0.00309,0.00569,0.00701,0.00476,0.01186
0.00736,0.00847,0.00943,0.05564,0.00604,1.53669,0.00431,1.40512,0.00843,0.03386,1.15969,0.00211,0.00546,0.00644,0.06027,0.01115,0.0079,0.00305,0.00503,0.00726,0.00513,0.01278
0.00814,0.00822,0.01017,0.05001,0.01169,5.01734,0.04616,5.10218,0.00781,0.07915,5.16654,0.00274,0.00597,0.00771,0.06441,0.01473,0.00722,0.00301,0.00536,0.00794,0.00612,0.01311
0.00689,0.00918,0.00982,0.0733,0.00594,3.76251,0.00411,3.80137,0.00851,0.03353,4.092,0.00231,0.00591,0.00689,0.05391,0.01554,0.00845,0.00356,0.00491,0.00912,0.00618,0.01467
0.04699,0.04592,0.04914,0.08965,0.01177,1.02952,0.0463,0.74209,0.00763,0.07762,0.6311,0.00721,0.04316,0.04415,0.05329,0.01159,0.04728,0.0071,0.04614,0.04416,0.04361,0.04935
0.03288,0.03474,0.034,0.05219,0.00598,0.74957,0.00406,0.58442,0.00859,0.03457,0.52194,0.00607,0.02975,0.03102,0.06878,0.01492,0.03371,0.00738,0.03007,0.03434,0.03051,0.0356
0.00706,0.00739,0.00903,0.01502,0.01173,0.72627,0.0462,0.63216,0.00744,0.07675,0.5794,0.00265,0.0059,0.00565,0.07633,0.01403,0.00737,0.00332,0.00555,0.00638,0.00531,0.00763
0.00695,0.00695,0.00787,0.01009,0.00586,0.89847,0.00415,0.91205,0.00876,0.03587,0.64334,0.00276,0.00585,0.00667,0.07603,0.01075,0.00759,0.00237,0.00513,0.00628,0.00511,0.00632
0.00777,0.00714,0.00814,0.00898,0.01179,0.82834,0.04616,0.78514,0.0075,0.07505,0.58735,0.0028,0.0064,0.00523,0.05974,0.00949,0.00744,0.0034,0.00526,0.00527,0.0062,0.00558
0.00798,0.00882,0.00918,0.02488,0.00588,1.00297,0.00413,1.30528,0.00857,0.03724,0.73601,0.01381,0.00554,0.00718,0.06801,0.01098,0.00931,0.00864,0.00649,0.00671,0.00544,0.00743
0.00765,0.00779,0.00822,0.0061,0.01173,0.61399,0.04618,0.67399,0.00773,0.07464,0.52402,0.00358,0.00562,0.00578,0.07457,0.01186,0.00908,0.00353,0.00495,0.00517,0.00493,0.00574
0.00712,0.00855,0.00857,0.00513,0.00596,1.33423,0.00413,1.60938,0.00835,0.03761,0.88751,0.00872,0.00693,0.00618,0.06786,0.00856,0.0089,0.01048,0.00493,0.00663,0.00597,0.0065
0.00734,0.00687,0.00783,0.00638,0.01161,1.99003,0.04612,2.46508,0.00793,0.07418,1.27994,0.00261,0.00517,0.00511,0.06568,0.01076,0.00722,0.00363,0.00536,0.00572,0.00552,0.00548
0.00896,0.00995,0.01212,0.0123,0.00619,0.78877,0.00419,0.69647,0.00826,0.03741,0.49678,0.02004,0.00571,0.00638,0.06741,0.01266,0.00984,0.0163,0.0055,0.00806,0.0056,0.00685
0.00797,0.01037,0.00934,0.01491,0.01142,0.57804,0.0461,0.69089,0.00781,0.07421,0.48126,0.01313,0.0062,0.00659,0.13572,0.01227,0.01025,0.01304,0.00521,0.00701,0.00622,0.00761
0.00699,0.00914,0.00787,0.00743,0.01244,0.66457,0.04622,0.75088,0.00836,0.08194,0.47295,0.00219,0.00517,0.00576,0.14839,0.01204,0.00846,0.00274,0.00513,0.00583,0.00511,0.00668
0.00679,0.00769,0.00714,0.00328,0.00528,0.69407,0.00415,0.74547,0.00783,0.02998,0.5628,0.00243,0.0045,0.00441,0.21965,0.01243,0.00687,0.00307,0.00476,0.00616,0.00454,0.00523
0.00656,0.00712,0.00773,0.00723,0.01226,0.92655,0.0462,0.88019,0.00832,0.08229,0.62444,0.00243,0.00518,0.00524,0.11332,0.01389,0.00747,0.00325,0.0047,0.00657,0.00497,0.00577
0.00669,0.00708,0.00781,0.00787,0.00538,0.85921,0.00406,0.84397,0.00773,0.03002,0.6589,0.00231,0.00466,0.00521,0.05268,0.01223,0.00695,0.00309,0.00534,0.00624,0.00511,0.0064
0.00669,0.00749,0.0083,0.02892,0.01224,0.8451,0.04626,0.80721,0.00832,0.08205,0.74988,0.00252,0.00554,0.00546,0.06461,0.01106,0.0073,0.00346,0.00458,0.00603,0.00466,0.00624
0.00642,0.00748,0.00713,0.01451,0.00539,0.83624,0.00407,0.71414,0.00775,0.02932,0.5182,0.00295,0.00548,0.0063,0.05628,0.01363,0.00734,0.00366,0.00515,0.00634,0.00581,0.00622
0.00935,0.00812,0.00962,0.02788,0.01216,0.70165,0.0462,0.54278,0.0082,0.0823,0.44183,0.00237,0.00595,0.00605,0.07052,0.01173,0.00994,0.00272,0.00554,0.00693,0.00575,0.00697
0.00682,0.00838,0.00894,0.05035,0.00557,0.76588,0.004,0.73251,0.00789,0.02981,0.75307,0.00204,0.00636,0.00646,0.09334,0.01907,0.00848,0.00313,0.00495,0.00638,0.00585,0.00669
0.00673,0.00785,0.00804,0.03164,0.01208,1.14991,0.04626,0.86879,0.00804,0.08203,0.62266,0.00205,0.00443,0.00505,0.08835,0.0131,0.00658,0.00276,0.00437,0.00616,0.00482,0.00599
0.0104,0.01685,0.01455,0.02166,0.00606,27.63008,0.00411,31.96818,0.00808,0.03036,22.47852,0.00209,0.00686,0.00767,0.07531,0.01358,0.01433,0.00211,0.00567,0.0095,0.00638,0.00896
0.00738,0.01415,0.01067,0.12094,0.01175,95.05924,0.04618,99.72203,0.00797,0.08145,65.15195,0.00223,0.00603,0.00871,0.07021,0.0112,0.00999,0.00309,0.00489,0.00885,0.0049,0.00912
0.24501,0.23477,0.22699,1.84022,0.0061,12.49992,0.00423,6.56569,0.00841,0.03198,4.40084,0.01381,0.33152,0.42402,0.07758,0.01112,0.22564,0.02051,0.24892,0.28236,0.35159,0.3243
0.54286,0.52671,0.51706,3.27994,0.01157,7.54396,0.04606,3.66056,0.00759,0.07903,2.32098,0.03458,0.64586,0.70278,0.06578,0.01125,0.49675,0.05727,0.45179,0.58014,0.50926,0.77016
0.03522,0.04816,0.0421,0.21859,0.00621,4.44923,0.00433,3.37971,0.00845,0.03416,1.84028,0.00479,0.09236,0.12571,0.08189,0.01129,0.04595,0.00521,0.02469,0.04891,0.03381,0.10398
0.02567,0.02716,0.02625,0.20525,0.01134,8.19226,0.04597,3.33258,0.00759,0.07845,2.0644,0.00329,0.09114,0.05698,0.07422,0.00987,0.02937,0.00374,0.02085,0.02976,0.04589,0.06325
0.01845,0.02415,0.02513,0.25653,0.00621,2.8193,0.00431,2.45135,0.00849,0.03291,1.56225,0.00307,0.03905,0.02339,0.07307,0.01061,0.01928,0.00337,0.01287,0.02068,0.02122,0.06889
0.01976,0.02499,0.02731,0.15611,0.0114,2.33236,0.04598,2.35803,0.00756,0.07881,1.41053,0.00299,0.04166,0.03071,0.06516,0.01096,0.0224,0.00397,0.01174,0.02242,0.02201,0.05707
0.01672,0.02411,0.02429,0.17159,0.00617,2.26797,0.00435,1.6538,0.00847,0.03281,1.14594,0.00294,0.03467,0.02367,0.06491,0.01123,0.02487,0.00335,0.01043,0.01694,0.01973,0.06359
