"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.21,0.16604,0.2229,0.00744,19.52062,43.70792,11.24951,15.92539,7.4249,11.2592,37.90116,0.04212,0.12863,0.08625,0.18066,0.15686,0.17409,0.03101,0.08426,0.03914,0.11261,0.05018
0.2219,0.16358,0.26231,0.00654,11.00085,15.79099,5.6093,6.62258,8.82712,8.7841,14.49901,0.04391,0.17709,0.11113,0.2466,0.15748,0.19622,0.02656,0.07137,0.05055,0.12851,0.0815
0.22921,0.16632,0.24526,0.00913,9.56675,16.42685,5.8381,8.12111,9.46429,7.25802,15.02045,0.06832,0.09519,0.09731,0.14083,0.12764,0.13563,0.04833,0.07346,0.0656,0.07724,0.06751
0.21705,0.21313,0.29733,0.00905,13.55243,33.82323,5.41774,24.32381,12.59367,31.28984,20.8426,0.04599,0.10533,0.10154,0.15745,0.10744,0.15588,0.08214,0.08512,0.06093,0.08164,0.06419
0.11169,0.09842,0.14009,0.00645,15.65631,16.47927,6.48749,10.12547,10.66352,14.4391,19.82296,0.05463,0.06148,0.06011,0.07854,0.08054,0.08488,0.02451,0.04018,0.0377,0.04051,0.04072
0.18056,0.20979,0.29495,0.00573,11.50948,14.8635,5.19469,6.99118,6.60122,5.91125,16.29281,0.02272,0.06366,0.08605,0.11499,0.16305,0.15652,0.01597,0.0583,0.06184,0.05465,0.0683
0.12845,0.1052,0.16287,0.00708,26.0443,51.87312,8.35207,20.77671,12.15366,21.30396,40.84916,0.02511,0.05562,0.05863,0.09192,0.09572,0.10743,0.01663,0.04464,0.03546,0.04792,0.05269
0.07179,0.13638,0.17636,0.00754,41.34817,41.44157,13.00951,17.29328,20.28412,28.53397,41.69035,0.04198,0.05903,0.05184,0.08306,0.10753,0.12184,0.01803,0.04157,0.04428,0.06024,0.04251
0.20951,0.15568,0.25793,0.00649,37.65799,17.90021,16.3321,13.19727,19.79352,18.71142,26.44625,0.03631,0.1304,0.09136,0.31257,0.17479,0.31671,0.03639,0.06726,0.05892,0.13005,0.06406
0.16975,0.12898,0.20394,0.00818,11.53354,13.9712,8.17616,7.53834,8.79782,6.56766,13.38028,0.03568,0.1182,0.08041,0.23211,0.14902,0.23323,0.03283,0.05259,0.05304,0.08215,0.05477
0.1514,0.09924,0.18512,0.01384,25.87657,24.49736,11.08558,13.06794,17.32794,13.02414,22.97085,0.02693,0.06704,0.0636,0.13796,0.07745,0.14127,0.01641,0.04171,0.04682,0.05356,0.04327
0.28426,0.31235,0.40658,0.01137,16.47023,16.18834,8.63933,8.70634,10.43424,7.16642,18.56375,0.04673,0.07189,0.08297,0.16984,0.15854,0.21011,0.03483,0.07546,0.06448,0.07737,0.05342
0.24772,0.24821,0.32473,0.00846,18.72815,35.99694,12.42845,16.66178,14.62237,28.69813,27.70397,0.03443,0.07796,0.07686,0.17335,0.13509,0.1943,0.03172,0.06808,0.06157,0.06914,0.05752
0.27279,0.16109,0.32512,0.01029,12.04309,20.82768,5.73904,9.20206,9.96206,10.91109,16.61692,0.06802,0.09024,0.07158,0.16057,0.11988,0.17737,0.05836,0.13519,0.05331,0.1112,0.07004
0.11456,0.09621,0.14368,0.00885,28.43082,41.28834,12.438,22.35181,22.16246,26.32441,42.37488,0.03044,0.07555,0.07501,0.09945,0.12605,0.12129,0.01724,0.05078,0.03427,0.05531,0.0505
0.22292,0.27143,0.24967,0.00959,26.7131,35.14509,8.69354,18.17561,9.55101,18.04457,32.94527,0.0712,0.18058,0.12773,0.25965,0.23573,0.25111,0.04474,0.1029,0.07272,0.14973,0.0931
0.14426,0.15991,0.2234,0.00715,21.27302,36.74428,9.30102,20.00923,10.10126,15.79857,28.42988,0.06616,0.08665,0.07909,0.1611,0.14173,0.19711,0.01462,0.04861,0.06001,0.065,0.05847
0.13897,0.15045,0.21547,0.00884,23.89302,45.55852,8.87466,34.32265,20.31601,60.11099,34.61,0.05228,0.06073,0.0893,0.08321,0.09686,0.09854,0.03172,0.04549,0.04635,0.05062,0.07479
0.12189,0.1143,0.14398,0.01109,15.21602,16.46109,10.20297,7.97276,12.84078,11.7652,14.4846,0.03851,0.06945,0.0623,0.07377,0.07778,0.07809,0.02101,0.04193,0.06253,0.05405,0.04702
0.20276,0.15807,0.26867,0.00906,28.15383,76.22076,13.74856,32.80921,22.3248,40.30608,40.55272,0.04214,0.09355,0.07716,0.11212,0.08679,0.11329,0.06071,0.07066,0.04736,0.08237,0.05194
0.17051,0.16074,0.22164,0.00915,32.17027,42.55955,16.90689,18.20085,49.34652,30.46808,58.85356,0.02251,0.06317,0.06944,0.07736,0.09423,0.09437,0.0217,0.0502,0.05619,0.05136,0.04871
0.13355,0.1419,0.18176,0.00955,42.30965,40.5739,27.60158,18.9786,32.91488,20.01149,29.64652,0.03551,0.06997,0.07095,0.12159,0.11017,0.12272,0.02961,0.05655,0.06408,0.06591,0.06939
0.23027,0.23646,0.28456,0.0093,30.76365,16.57012,8.38721,9.01629,41.88297,19.28186,17.08853,0.03803,0.11165,0.1093,0.18606,0.17125,0.21051,0.1341,0.07708,0.07532,0.10283,0.08325
0.0992,0.12803,0.12657,0.0079,17.39027,17.32965,7.08524,8.68148,12.26966,11.47781,19.94779,0.03259,0.06831,0.09655,0.09988,0.12111,0.1115,0.01962,0.05319,0.03828,0.05181,0.05962
0.14255,0.22499,0.24938,0.00899,32.16245,19.9178,9.96693,8.91251,12.18855,9.06779,30.89394,0.07456,0.06809,0.08998,0.09455,0.11006,0.11296,0.0322,0.04897,0.08319,0.04571,0.0711
0.23271,0.31902,0.5274,0.01149,38.71431,51.74659,15.46053,18.25871,18.34049,18.95889,58.79587,0.11667,0.06294,0.0815,0.08767,0.1566,0.14406,0.08086,0.07964,0.10782,0.06598,0.09581
0.28981,0.31305,0.36864,0.00986,15.00022,18.49978,5.795,12.37229,13.27195,17.36984,18.11703,0.08303,0.07421,0.10426,0.14079,0.20133,0.19997,0.05705,0.10305,0.08029,0.06848,0.08353
0.09405,0.10127,0.13874,0.0085,34.2182,40.142,15.60278,20.77066,31.73451,51.12065,40.87819,0.03567,0.06477,0.09117,0.07985,0.10851,0.10265,0.02299,0.11612,0.0499,0.03949,0.06907
0.10552,0.10421,0.17424,0.00959,28.63574,64.89231,10.72466,37.3582,18.17012,22.3845,47.13604,0.04433,0.06602,0.06386,0.10865,0.09429,0.10266,0.01841,0.04883,0.03355,0.0593,0.0476
0.22298,0.20002,0.31597,0.00875,27.50653,37.63341,11.61167,15.96704,10.4668,13.54767,38.39323,0.03877,0.07913,0.07217,0.12154,0.13412,0.14061,0.02454,0.08419,0.05682,0.0755,0.06474
0.33061,0.2991,0.52703,0.00959,28.83793,48.93397,13.55331,19.56499,13.21163,16.59689,36.59897,0.05559,0.07315,0.08151,0.15456,0.15997,0.22005,0.03247,0.07582,0.07283,0.06303,0.06957
0.10105,0.1156,0.11549,0.00995,47.67079,84.41292,15.60187,36.92427,25.36121,49.77328,60.95629,0.03108,0.06652,0.08846,0.07787,0.11255,0.0849,0.02031,0.06058,0.04196,0.04702,0.06225
0.20971,0.20553,0.28908,0.00725,14.2293,18.05981,7.51346,13.06022,9.63976,14.52187,13.21788,0.09786,0.10098,0.14399,0.18524,0.25736,0.23202,0.0628,0.14645,0.08176,0.08254,0.12501
0.2201,0.30318,0.4233,0.00734,24.2419,61.03975,8.53877,25.14105,9.89315,23.86031,36.57574,0.04669,0.06775,0.07162,0.13328,0.13014,0.16211,0.02101,0.07838,0.10166,0.05921,0.06178
0.2373,0.27922,0.36502,0.00889,13.14336,40.7518,8.30619,18.08406,10.00657,14.0159,15.23593,0.04453,0.09809,0.07711,0.18267,0.17345,0.21231,0.03231,0.08204,0.05611,0.0862,0.06281
0.20779,0.33045,0.38173,0.01059,15.50617,19.12811,8.21523,9.60937,8.38993,10.58233,25.90783,0.04292,0.09139,0.07434,0.13796,0.20482,0.17821,0.03031,0.06561,0.06728,0.06848,0.05636
0.27024,0.27145,0.35746,0.0085,31.44218,34.21899,15.99548,19.1205,25.04185,23.14401,40.11829,0.08181,0.06911,0.05622,0.11049,0.12967,0.14459,0.04835,0.09153,0.08099,0.08259,0.05323
0.1362,0.11031,0.13239,0.00804,40.95311,49.97444,23.15778,29.3868,27.70861,21.83732,39.81564,0.03091,0.0474,0.04783,0.06415,0.07005,0.08067,0.01954,0.04746,0.04445,0.04551,0.04017
0.20243,0.28215,0.32641,0.00614,14.65967,36.68232,12.47734,27.25863,21.98169,29.95819,21.68743,0.03815,0.08589,0.08804,0.12617,0.1496,0.15225,0.04895,0.06814,0.06227,0.05793,0.0619
0.11206,0.12546,0.16178,0.00858,28.80285,30.60316,10.42739,14.51889,12.04931,11.93839,34.15649,0.04464,0.08868,0.05789,0.08568,0.09455,0.10346,0.02319,0.03859,0.04676,0.04714,0.04396
0.21166,0.29273,0.32001,0.00764,10.03781,18.19472,3.84144,8.21689,5.84055,8.47614,15.55733,0.03447,0.07689,0.08739,0.13108,0.19167,0.15947,0.03007,0.07579,0.10668,0.07544,0.09177
0.24456,0.18371,0.2859,0.00724,48.27329,61.97577,24.83786,23.68988,29.1263,24.30133,44.65174,0.05257,0.08303,0.07704,0.12866,0.10286,0.1525,0.03035,0.07898,0.05488,0.07568,0.04886
